(-0.41, 0.00, -3.23)
(-0.41, 0.00, -3.25)
(-0.40, 0.00, -3.26)
(-0.40, 0.00, -3.28)
(-0.40, 0.00, -3.30)
(-0.39, 0.00, -3.32)
(-0.39, 0.00, -3.33)
(-0.38, 0.00, -3.35)
(-0.38, 0.00, -3.37)
(-0.38, 0.00, -3.38)
(-0.37, 0.00, -3.40)
(-0.37, 0.00, -3.41)
(-0.37, 0.00, -3.43)
(-0.36, 0.00, -3.45)
(-0.36, 0.00, -3.46)
(-0.36, 0.00, -3.48)
(-0.35, 0.00, -3.49)
(-0.35, 0.00, -3.51)
(-0.35, 0.00, -3.52)
(-0.35, 0.00, -3.54)
(-0.34, 0.00, -3.55)
(-0.34, 0.00, -3.57)
(-0.34, 0.00, -3.58)
(-0.34, 0.00, -3.60)
(-0.33, 0.00, -3.61)
(-0.33, 0.00, -3.63)
(-0.33, 0.00, -3.64)
(-0.33, 0.00, -3.66)
(-0.32, 0.00, -3.67)
(-0.32, 0.00, -3.68)
(-0.32, 0.00, -3.70)
(-0.32, 0.00, -3.71)
(-0.31, 0.00, -3.73)
(-0.31, 0.00, -3.74)
(-0.31, 0.00, -3.75)
(-0.31, 0.00, -3.77)
(-0.30, 0.00, -3.78)
(-0.30, 0.00, -3.80)
(-0.30, 0.00, -3.81)
(-0.30, 0.00, -3.82)
(-0.29, 0.00, -3.84)
(-0.29, 0.00, -3.85)
(-0.29, 0.00, -3.87)
(-0.29, 0.00, -3.88)
(-0.28, 0.00, -3.90)
(-0.28, 0.00, -3.91)
(-0.28, 0.00, -3.93)
(-0.27, 0.00, -3.94)
(-0.27, 0.00, -3.96)
(-0.27, 0.00, -3.97)
(-0.26, 0.00, -3.98)
(-0.26, 0.00, -4.00)
(-0.26, 0.00, -4.01)
(-0.25, 0.00, -4.03)
(-0.25, 0.00, -4.04)
(-0.25, 0.00, -4.06)
(-0.24, 0.00, -4.07)
(-0.24, 0.00, -4.09)
(-0.24, 0.00, -4.10)
(-0.23, 0.00, -4.12)
(-0.23, 0.00, -4.13)
(-0.22, 0.00, -4.15)
(-0.22, 0.00, -4.16)
(-0.22, 0.00, -4.18)
(-0.21, 0.00, -4.19)
(-0.21, 0.00, -4.21)
(-0.20, 0.00, -4.22)
(-0.20, 0.00, -4.24)
(-0.19, 0.00, -4.25)
(-0.19, 0.00, -4.27)
(-0.18, 0.00, -4.28)
(-0.18, 0.00, -4.30)
(-0.17, 0.00, -4.31)
(-0.17, 0.00, -4.32)
(-0.16, 0.00, -4.34)
(-0.16, 0.00, -4.35)
(-0.15, 0.00, -4.36)
(-0.15, 0.00, -4.38)
(-0.14, 0.00, -4.39)
(-0.14, 0.00, -4.40)
(-0.14, 0.00, -4.42)
(-0.13, 0.00, -4.43)
(-0.13, 0.00, -4.45)
(-0.12, 0.00, -4.46)
(-0.12, 0.00, -4.47)
(-0.11, 0.00, -4.48)
(-0.11, 0.00, -4.50)
(-0.10, 0.00, -4.51)
(-0.10, 0.00, -4.52)
(-0.09, 0.00, -4.54)
(-0.09, 0.00, -4.55)
(-0.09, 0.00, -4.56)
(-0.08, 0.00, -4.58)
(-0.08, 0.00, -4.59)
(-0.07, 0.00, -4.60)
(-0.07, 0.00, -4.62)
(-0.06, 0.00, -4.63)
(-0.06, 0.00, -4.64)
(-0.06, 0.00, -4.65)
(-0.05, 0.00, -4.67)
(-0.05, 0.00, -4.68)
(-0.04, 0.00, -4.69)
(-0.04, 0.00, -4.70)
(-0.04, 0.00, -4.72)
(-0.03, 0.00, -4.73)
(-0.03, 0.00, -4.74)
(-0.02, 0.00, -4.75)
(-0.02, 0.00, -4.77)
(-0.01, 0.00, -4.78)
(-0.01, 0.00, -4.79)
(-0.01, 0.00, -4.80)
(0.00, 0.00, -4.82)
(0.00, 0.00, -4.83)
(0.01, 0.00, -4.84)
(0.01, 0.00, -4.85)
(0.01, 0.00, -4.87)
(0.02, 0.00, -4.88)
(0.02, 0.00, -4.89)
(0.03, 0.00, -4.90)
(0.03, 0.00, -4.91)
(0.04, 0.00, -4.93)
(0.04, 0.00, -4.94)
(0.04, 0.00, -4.95)
(0.05, 0.00, -4.96)
(0.05, 0.00, -4.97)
(0.06, 0.00, -4.99)
(0.06, 0.00, -5.00)
(0.06, 0.00, -5.01)
(0.07, 0.00, -5.02)
(0.07, 0.00, -5.04)
(0.08, 0.00, -5.05)
(0.08, 0.00, -5.06)
(0.08, 0.00, -5.07)
(0.09, 0.00, -5.08)
(0.09, 0.00, -5.10)
(0.10, 0.00, -5.11)
(0.10, 0.00, -5.12)
(0.10, 0.00, -5.13)
(0.11, 0.00, -5.15)
(0.11, 0.00, -5.16)
(0.12, 0.00, -5.17)
(0.12, 0.00, -5.18)
(0.12, 0.00, -5.20)
(0.13, 0.00, -5.21)
(0.13, 0.00, -5.22)
(0.14, 0.00, -5.23)
(0.14, 0.00, -5.25)
(0.15, 0.00, -5.26)
(0.15, 0.00, -5.27)
(0.15, 0.00, -5.28)
(0.16, 0.00, -5.30)
(0.16, 0.00, -5.31)
(0.17, 0.00, -5.32)
(0.17, 0.00, -5.33)
(0.17, 0.00, -5.35)
(0.18, 0.00, -5.36)
(0.18, 0.00, -5.37)
(0.19, 0.00, -5.39)
(0.19, 0.00, -5.40)
(0.19, 0.00, -5.41)
(0.20, 0.00, -5.42)
(0.20, 0.00, -5.44)
(0.20, 0.00, -5.45)
(0.21, 0.00, -5.46)
(0.21, 0.00, -5.48)
(0.22, 0.00, -5.49)
(0.22, 0.00, -5.50)
(0.22, 0.00, -5.51)
(0.23, 0.00, -5.53)
(0.23, 0.00, -5.54)
(0.24, 0.00, -5.55)
(0.24, 0.00, -5.57)
(0.24, 0.00, -5.58)
(0.25, 0.00, -5.59)
(0.25, 0.00, -5.61)
(0.26, 0.00, -5.62)
(0.26, 0.00, -5.63)
(0.26, 0.00, -5.65)
(0.27, 0.00, -5.66)
